05:09:38.471 Scope                     [004] Action > (Serial:PassThroughCommand, :GX#,#) called
05:09:38.471 Serial                    [004] SendMessage Nr0030 > (:GX#,#) - awaiting lock
05:09:38.471 Serial                    [004] SendMessage Nr0030 - acquired lock
05:09:38.471 Serial                    [004] SendMessage Nr0030 - Sending command, expecting HashTerminated reply for ':GX#'
05:09:38.502 Serial                    [004] SendMessage Nr0030 - Reply: Tracking,--T---,-207,0,16342,061103,+900000,,
05:09:38.502 Serial                    [004] SendMessage Nr0030 - Releasing lock
05:09:38.502 Serial                    [004] SendMessage Nr0030 < Released lock
05:09:38.502 Scope                     [004] Action < result: Tracking,--T---,-207,0,16342,061103,+900000,,
05:09:38.502 Scope                     [004] SupportedActions Get => 3 item(s)
05:09:38.502 Scope                     [004] Action > (Serial:PassThroughCommand, :XGL#,#) called
05:09:38.502 Serial                    [004] SendMessage Nr0031 > (:XGL#,#) - awaiting lock
05:09:38.502 Serial                    [004] SendMessage Nr0031 - acquired lock
05:09:38.502 Serial                    [004] SendMessage Nr0031 - Sending command, expecting HashTerminated reply for ':XGL#'
05:09:38.512 Serial                    [004] SendMessage Nr0031 - Reply: 061627
05:09:38.512 Serial                    [004] SendMessage Nr0031 - Releasing lock
05:09:38.512 Serial                    [004] SendMessage Nr0031 < Released lock
05:09:38.512 Scope                     [004] Action < result: 061627
05:09:39.503 Scope                     [004] SupportedActions Get => 3 item(s)
05:09:39.503 Scope                     [004] Action > (Serial:PassThroughCommand, :GX#,#) called
05:09:39.503 Serial                    [004] SendMessage Nr0032 > (:GX#,#) - awaiting lock
05:09:39.503 Serial                    [004] SendMessage Nr0032 - acquired lock
05:09:39.503 Serial                    [004] SendMessage Nr0032 - Sending command, expecting HashTerminated reply for ':GX#'
05:09:39.534 Serial                    [004] SendMessage Nr0032 - Reply: Tracking,--T---,-207,0,16386,061103,+900000,,
05:09:39.534 Serial                    [004] SendMessage Nr0032 - Releasing lock
05:09:39.534 Serial                    [004] SendMessage Nr0032 < Released lock
05:09:39.534 Scope                     [004] Action < result: Tracking,--T---,-207,0,16386,061103,+900000,,
05:09:39.534 Scope                     [004] SupportedActions Get => 3 item(s)
05:09:39.534 Scope                     [004] Action > (Serial:PassThroughCommand, :XGL#,#) called
05:09:39.534 Serial                    [004] SendMessage Nr0033 > (:XGL#,#) - awaiting lock
05:09:39.534 Serial                    [004] SendMessage Nr0033 - acquired lock
05:09:39.534 Serial                    [004] SendMessage Nr0033 - Sending command, expecting HashTerminated reply for ':XGL#'
05:09:39.543 Serial                    [004] SendMessage Nr0033 - Reply: 061628
05:09:39.543 Serial                    [004] SendMessage Nr0033 - Releasing lock
05:09:39.543 Serial                    [004] SendMessage Nr0033 < Released lock
05:09:39.543 Scope                     [004] Action < result: 061628
05:09:40.535 Scope                     [004] SupportedActions Get => 3 item(s)
05:09:40.535 Scope                     [004] Action > (Serial:PassThroughCommand, :GX#,#) called
05:09:40.535 Serial                    [004] SendMessage Nr0034 > (:GX#,#) - awaiting lock
05:09:40.535 Serial                    [004] SendMessage Nr0034 - acquired lock
05:09:40.535 Serial                    [004] SendMessage Nr0034 - Sending command, expecting HashTerminated reply for ':GX#'
05:09:40.565 Serial                    [004] SendMessage Nr0034 - Reply: Tracking,--T---,-207,0,16429,061103,+900000,,
05:09:40.565 Serial                    [004] SendMessage Nr0034 - Releasing lock
05:09:40.565 Serial                    [004] SendMessage Nr0034 < Released lock
05:09:40.565 Scope                     [004] Action < result: Tracking,--T---,-207,0,16429,061103,+900000,,
05:09:40.565 Scope                     [004] SupportedActions Get => 3 item(s)
05:09:40.565 Scope                     [004] Action > (Serial:PassThroughCommand, :XGL#,#) called
05:09:40.565 Serial                    [004] SendMessage Nr0035 > (:XGL#,#) - awaiting lock
05:09:40.565 Serial                    [004] SendMessage Nr0035 - acquired lock
05:09:40.565 Serial                    [004] SendMessage Nr0035 - Sending command, expecting HashTerminated reply for ':XGL#'
05:09:40.574 Serial                    [004] SendMessage Nr0035 - Reply: 061629
05:09:40.574 Serial                    [004] SendMessage Nr0035 - Releasing lock
05:09:40.574 Serial                    [004] SendMessage Nr0035 < Released lock
05:09:40.574 Scope                     [004] Action < result: 061629
05:09:41.564 Scope                     [004] SupportedActions Get => 3 item(s)
05:09:41.564 Scope                     [004] Action > (Serial:PassThroughCommand, :GX#,#) called
05:09:41.564 Serial                    [004] SendMessage Nr0036 > (:GX#,#) - awaiting lock
05:09:41.564 Serial                    [004] SendMessage Nr0036 - acquired lock
05:09:41.564 Serial                    [004] SendMessage Nr0036 - Sending command, expecting HashTerminated reply for ':GX#'
05:09:41.595 Serial                    [004] SendMessage Nr0036 - Reply: Tracking,--T---,-207,0,16472,061103,+900000,,
05:09:41.595 Serial                    [004] SendMessage Nr0036 - Releasing lock
05:09:41.595 Serial                    [004] SendMessage Nr0036 < Released lock
05:09:41.595 Scope                     [004] Action < result: Tracking,--T---,-207,0,16472,061103,+900000,,
05:09:41.595 Scope                     [004] SupportedActions Get => 3 item(s)
05:09:41.595 Scope                     [004] Action > (Serial:PassThroughCommand, :XGL#,#) called
05:09:41.595 Serial                    [004] SendMessage Nr0037 > (:XGL#,#) - awaiting lock
05:09:41.595 Serial                    [004] SendMessage Nr0037 - acquired lock
05:09:41.595 Serial                    [004] SendMessage Nr0037 - Sending command, expecting HashTerminated reply for ':XGL#'
05:09:41.604 Serial                    [004] SendMessage Nr0037 - Reply: 061630
05:09:41.604 Serial                    [004] SendMessage Nr0037 - Releasing lock
05:09:41.604 Serial                    [004] SendMessage Nr0037 < Released lock
05:09:41.604 Scope                     [004] Action < result: 061630
05:09:42.597 Scope                     [004] SupportedActions Get => 3 item(s)
05:09:42.597 Scope                     [004] Action > (Serial:PassThroughCommand, :GX#,#) called
05:09:42.597 Serial                    [004] SendMessage Nr0038 > (:GX#,#) - awaiting lock
05:09:42.597 Serial                    [004] SendMessage Nr0038 - acquired lock
05:09:42.597 Serial                    [004] SendMessage Nr0038 - Sending command, expecting HashTerminated reply for ':GX#'
05:09:42.627 Serial                    [004] SendMessage Nr0038 - Reply: Tracking,--T---,-207,0,16516,061103,+900000,,
05:09:42.627 Serial                    [004] SendMessage Nr0038 - Releasing lock
05:09:42.627 Serial                    [004] SendMessage Nr0038 < Released lock
05:09:42.627 Scope                     [004] Action < result: Tracking,--T---,-207,0,16516,061103,+900000,,
05:09:42.627 Scope                     [004] SupportedActions Get => 3 item(s)
05:09:42.627 Scope                     [004] Action > (Serial:PassThroughCommand, :XGL#,#) called
05:09:42.627 Serial                    [004] SendMessage Nr0039 > (:XGL#,#) - awaiting lock
05:09:42.627 Serial                    [004] SendMessage Nr0039 - acquired lock
05:09:42.627 Serial                    [004] SendMessage Nr0039 - Sending command, expecting HashTerminated reply for ':XGL#'
05:09:42.636 Serial                    [004] SendMessage Nr0039 - Reply: 061631
05:09:42.637 Serial                    [004] SendMessage Nr0039 - Releasing lock
05:09:42.637 Serial                    [004] SendMessage Nr0039 < Released lock
05:09:42.637 Scope                     [004] Action < result: 061631
05:09:43.642 Scope                     [004] SupportedActions Get => 3 item(s)
05:09:43.642 Scope                     [004] Action > (Serial:PassThroughCommand, :GX#,#) called
